gen,nevals,avg,stddev,min,max,run,representation
23,44,-0.0235606918774805,1.0195603119157477,-5.00508324830387,0.388949232290932,1,f1-native
24,45,0.0276039484582715,0.7291137011023888,-4.017142863589637,0.4206486621817931,1,f1-native
25,49,0.2190312513444541,0.1017757447723559,0.0067275994132513,0.4206486621817931,1,f1-native
26,48,0.0533733297515713,1.05611248698369,-6.0036809043297925,0.4206486621817931,1,f1-native
27,41,0.2840491493235164,0.1194289332670036,0.0330811765811335,0.421013163191114,1,f1-native
28,48,0.2895227414201017,0.1244481446412553,0.0562660162257749,0.421013163191114,1,f1-native
29,47,0.2480786563661915,0.4803794556844303,-3.016666667167205,0.5248077869350689,1,f1-native
30,46,0.30327313259855,0.1338878531501327,0.0055198227059322,0.5318598968822619,1,f1-native
31,47,0.3468688588738001,0.1430939506523968,0.0184065161792534,0.623382060901535,1,f1-native
32,46,0.3569851909042599,0.1611157291492309,0.0374400530506129,0.6515556063471815,1,f1-native
33,44,0.3800840847831174,0.2566725443707837,-1.0150000002897597,0.6866148763065235,1,f1-native
34,43,0.420620913244167,0.1928670416193352,0.0721687590423268,0.6866148763065235,1,f1-native
35,47,0.2795813599692552,0.9264678675093384,-6.009610429824749,0.6866148763065235,1,f1-native
36,43,0.4789415216956018,0.1970531808626044,0.0725546500256571,0.6866148763065235,1,f1-native
37,45,0.4672962842864659,0.2180065317151533,0.0742731284096853,0.6968352906178173,1,f1-native
38,49,0.4515592000145811,0.2330069462009453,0.0612664195723235,0.7094059881179539,1,f1-native
39,42,0.4807898960031799,0.2147121443356526,0.0783316583951643,0.852320113597258,1,f1-native
40,47,0.5130667909801593,0.2300612245776652,0.0783316583951643,0.9083039816076912,1,f1-native
41,45,0.5989875081148032,0.2136435291016967,0.0826722968593645,0.9083039816076912,1,f1-native
42,43,0.619227720073062,0.2347948885697428,0.0826989835100668,0.8546333969347261,1,f1-native
43,44,0.5677125542647359,0.2585629120643777,0.0180800544575524,0.8546333969347261,1,f1-native
44,46,0.4791903821684002,0.4505233635876471,-2.001039354412429,0.8882565215756812,1,f1-native
45,45,0.5015188452187375,0.3210938679958603,-1.0149999821056608,0.888256521575682,1,f1-native
46,43,0.550890932986674,0.4361091651305549,-2.003960047088619,0.8928528719582498,1,f1-native
47,46,0.5452415459224794,0.267415000687203,0.0855943018715074,0.888256521575682,1,f1-native
48,49,0.5683061510492013,0.2752226424842299,0.0092370224685811,0.9019812856354272,1,f1-native
49,47,0.5887355724042801,0.2512295101994771,0.1449378345181854,0.901751512279652,1,f1-native
50,44,0.5673412420822186,0.2806352078355513,0.0883186936177952,0.901751512279652,1,f1-native
51,46,0.5124130602470608,0.4488427834342831,-2.0136347234534058,0.901751512279652,1,f1-native
52,46,0.6253189993576296,0.235221866637391,0.1333324616183662,0.9154602466607188,1,f1-native
53,48,0.5009910287848663,0.5710319708282856,-3.00277635422834,0.9422128942733556,1,f1-native
54,48,0.583419284782351,0.2697361398267375,0.1543921213176318,0.9422128942733556,1,f1-native
55,48,0.4796820465734947,0.4539897571894182,-2.0117114402667484,0.9422128942733556,1,f1-native
56,48,0.5753150517677903,0.2938830379495012,0.1062736639484579,0.9427335132496116,1,f1-native
57,48,0.5681554346377404,0.3129050229431416,0.1268338908185916,0.9950592456489512,1,f1-native
58,47,0.5714563860816516,0.2902549020733013,0.1484553285464573,0.9952654927808584,1,f1-native
59,46,0.5901919079163346,0.3232793907461814,0.0299118029161359,0.9952654927808584,1,f1-native
60,47,0.4712504093982453,0.3792999953849383,-1.0012115076835952,0.9952654927808596,1,f1-native
61,49,0.5203638045623082,0.3494034353813778,-1.011754998593992,0.9952654927808596,1,f1-native
62,45,0.5799076960713033,0.278548137905075,0.1225086757144443,0.9952654927808596,1,f1-native
63,46,0.6720571636125717,0.3072453873865415,0.0934042222598762,1.0245469072468107,1,f1-native
64,48,0.6177628741289009,0.29450218482013,0.1235950472494221,1.0514083800915663,1,f1-native
65,46,0.5774716215990231,0.2967707793739442,0.1064792900924969,0.9952597125947994,1,f1-native
66,46,0.6146714932854818,0.3129145173362638,0.1270203815164233,1.0474427064327634,1,f1-native
67,45,0.6850649687484947,0.3284950164407224,0.0971446657972956,1.050828425964499,1,f1-native
68,46,0.5871276681113698,0.3480337608213669,0.1036539126797381,1.050828425964499,1,f1-native
69,48,0.594383660891622,0.3363462195463593,0.0818084784243294,1.050828425964499,1,f1-native
70,45,0.6027889508034291,0.3282982125794233,0.0959242127277607,1.0468745710672291,1,f1-native
71,47,0.6843543228659479,0.3266151884654685,0.1334536103887484,1.032011797927569,1,f1-native
72,48,0.740706327696025,0.3237150544925952,0.0236332463007029,1.032011797927569,1,f1-native
73,48,0.722112069663903,0.3307668292191378,0.0810009433175614,1.0571484674491884,1,f1-native
74,47,0.688600581805963,0.3303911867998568,0.1049643901580533,1.0571484674491884,1,f1-native
75,46,0.7432515855937987,0.3144767120090291,0.0932204176558672,1.0573070055520433,1,f1-native
76,47,0.8411608419350329,0.28828174964025,0.1800541405397499,1.0752685319173232,1,f1-native
77,45,0.6872615462627448,0.3723004455330128,0.06225941068578,1.0836473336681465,1,f1-native
78,44,0.8090543052182315,0.309077685722012,0.1805563454769366,1.0836473336681465,1,f1-native
79,49,0.7832718235097311,0.3631469201355349,0.1696542809968364,1.1043977875692566,1,f1-native
80,48,0.8001811305566158,0.328510361047115,0.1191834700028279,1.1043977875692574,1,f1-native
81,45,0.8205274962013687,0.3239095275751753,0.0558299754426401,1.1043977875692574,1,f1-native
82,45,0.7913887498013521,0.3364872526975083,0.1805358971128009,1.1165988056158511,1,f1-native
83,44,0.8079465960508102,0.3183915533623079,0.0630576996103853,1.1165988056158516,1,f1-native
84,48,0.7444538576685857,0.3703384502592277,0.1281129208637229,1.1165988056158516,1,f1-native
85,45,0.7805585863311603,0.3368231979150764,0.1401059772700996,1.1165988056158511,1,f1-native
86,45,0.633399053259315,0.3770728040241358,0.1157212081936808,1.1165988056158511,1,f1-native
87,45,0.7401671116420604,0.3298152370772369,0.1707008069777119,1.1226288231978154,1,f1-native
88,46,0.8365821486044278,0.3321842353251783,0.1401122124001881,1.1226288231978154,1,f1-native
89,47,0.8292962706776246,0.3518812300651887,0.1509841810052651,1.1226229079349554,1,f1-native
90,44,0.8482238508223395,0.3542220080443558,0.1592256651077663,1.128551864896752,1,f1-native
91,46,0.8513273601393857,0.3592082617032175,0.0921077429231248,1.13216679608207,1,f1-native
92,46,0.7923788308672803,0.3684873746135492,0.1574594095017376,1.1323531046649178,1,f1-native
93,46,0.8302141493516381,0.3524815534655804,0.156774311953084,1.1323531046649185,1,f1-native
94,46,0.8139575803803687,0.3597353404126944,0.0434129514457816,1.132353104664919,1,f1-native
95,45,0.7970049721315643,0.3723143866552472,0.1721166296754522,1.1323538318833235,1,f1-native
96,47,0.7726311740083492,0.3382637804233184,0.1365755842649343,1.1381162962040854,1,f1-native
97,47,0.7587847612383143,0.3319729024604494,0.1763917318908508,1.145083224692124,1,f1-native
98,45,0.8111138223541122,0.3560212349813956,0.1409239715529752,1.1453028932255451,1,f1-native
99,46,0.8457756572384995,0.3707135128946272,0.1418957477550403,1.2353484586449746,1,f1-native
100,47,0.7946803990393679,0.3601992535614904,0.1728800763570855,1.2353484586449746,1,f1-native
0,50,-1.0099999999999998,0.0,-1.0099999999999998,-1.0099999999999998,10,f1-native
1,48,-0.7907333333329819,0.4128654825330067,-1.0099999999999998,-0.0133333333317374,10,f1-native
2,45,-0.4321333333576108,0.4921492591850929,-1.0150000000428947,-0.0133333186114765,10,f1-native
3,48,-0.3734199990788496,0.5202109728327736,-2.0159999999841025,-0.013333307716814,10,f1-native
4,47,-0.1730999962024992,0.3660727032955557,-1.0150000000428947,-0.0133333186114765,10,f1-native
5,47,-0.1731999925347211,0.366301917562696,-1.0150000000428947,-0.0133333099748095,10,f1-native
6,44,-0.2533333240928867,0.4270846945020712,-1.015000024143896,-0.0133333099748095,10,f1-native
7,46,-0.2533333217207721,0.4270846949039787,-1.0150000000704364,-0.0133333099748095,10,f1-native
8,46,-0.2330999889567246,0.4138086041070303,-1.0150000002078676,-0.013333307716814,10,f1-native
9,47,-0.3528999869268041,0.4731072065043233,-1.0150000002078676,-0.013333307716814,10,f1-native
10,47,-0.3934666594232384,0.4855586568898689,-1.0150000560413552,-0.0133333099710381,10,f1-native
11,44,-0.2731666555228803,0.4383549172466918,-1.0150000077621206,-0.0133333099710381,10,f1-native
12,45,-0.291937190262142,0.4485371692383814,-1.015000000105164,0.0257245034384245,10,f1-native
13,43,-0.3083814733953127,0.4621148363686614,-1.015000001031387,0.0399846741869835,10,f1-native
14,42,-0.3810480018208582,0.6046915692833029,-2.0160000001846905,0.0454105427977512,10,f1-native
15,41,-0.388894922643258,0.7616323867114824,-3.016666670055332,0.0987944393744957,10,f1-native
16,48,-0.2782460621633504,0.5940289339736521,-2.0160000246363348,0.1753344515409058,10,f1-native
17,48,-0.1257180229290633,0.4382641675315216,-2.0011292075607066,0.307455878828593,10,f1-native
18,46,-0.0222938288164288,0.2989534049474188,-1.0150003828413918,0.307455878828593,10,f1-native
