gen,nevals,avg,stddev,min,max,run,representation
88,48,-0.0101029012744845,0.0006596520540725,-0.0133333879285904,-0.009952736488889,1,f0
89,46,-0.0102386910136955,0.0009127454456136,-0.0133335376833354,-0.009952736488889,1,f0
90,47,-0.0103703302570404,0.0010943184498177,-0.0133337071433302,-0.009952736488889,1,f0
91,47,-0.0101712045882582,0.0007990883400545,-0.0133333591329323,-0.009952736488889,1,f0
92,48,-0.0100969235517737,0.0006607801737212,-0.013333334194629,-0.009952736488889,1,f0
93,43,-0.0101731738779143,0.0007986283055083,-0.0133333294981524,-0.009952736488889,1,f0
94,48,-0.0103076753847384,0.0010087620070219,-0.0133336213296579,-0.009952736488889,1,f0
95,42,-0.0103029404568798,0.0010102691630603,-0.0133337433671446,-0.009952736488889,1,f0
96,48,-0.0101035862073095,0.0006595926806668,-0.0133335448787091,-0.009952736488889,1,f0
97,42,-0.0103046780457138,0.0010095288309254,-0.0133334616268248,-0.009952736488889,1,f0
98,47,-0.0101052765208964,0.0006592612196372,-0.0133334170904491,-0.009952736488889,1,f0
99,48,-0.0101732558812451,0.0007985836270214,-0.0133334349403396,-0.009952736488889,1,f0
100,45,-0.0102349812083931,0.0009138181796808,-0.0133336062689028,-0.0099526729573334,1,f0
0,50,-0.0099999999999997,0.0,-0.0099999999999997,-0.0099999999999997,10,f0
1,47,-0.0100666677466748,0.0004666742267257,-0.0133333873337553,-0.0099999999999997,10,f0
2,45,-0.010266660160387,0.0009042886025207,-0.0133334620135109,-0.0099999999999997,10,f0
3,47,-0.0101333206986707,0.0006531353708814,-0.0133333351629903,-0.0099999999999997,10,f0
4,45,-0.0101333268125783,0.0006531653203559,-0.0133333168072178,-0.0099999999999997,10,f0
5,44,-0.0102000009811439,0.0007916266886415,-0.0133333894131556,-0.0099999999999997,10,f0
6,46,-0.0102666637714882,0.0009043008464307,-0.0133333289486051,-0.0099999999999997,10,f0
7,45,-0.0100665853970129,0.0004666592069622,-0.0133331975788799,-0.0099960722717795,10,f0
