id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
9e8dd67a76dc0e20190e3010a4ee5f0c,Centralny Ośrodek Informatyki,1000.0,Remote,JavaScript,senior,17000.0,23000.0,,
d6e8e4076b67d7b52178c32dd373c3c8,Centralny Ośrodek Informatyki,1000.0,Warszawa,JavaScript,senior,17000.0,23000.0,,
f3e97da12b02d537a593521e4fd0886b,Centralny Ośrodek Informatyki,1000.0,Remote,Java,junior,8000.0,10000.0,,
6a2f91bc5140e5caa274b6da8fcc2a7e,Centralny Ośrodek Informatyki,1000.0,Warszawa,Java,junior,8000.0,10000.0,,
dc670db4496e54bdfe82764e8306a96e,Centralny Ośrodek Informatyki,1000.0,Remote,Java,senior,17000.0,23000.0,,
ef7ebf328f3a73ddf816817dc0916b21,Centralny Ośrodek Informatyki,1000.0,Warszawa,Java,senior,17000.0,23000.0,,
4cf6dd835f7cab553d93e3fe2a8aa6a7,Sii Poland,10000.0,Remote,Java,senior,18000.0,18000.0,27300.0,27300.0
9083f0a6b030d66e799259b123813070,Sii Poland,10000.0,Gdańsk,Java,senior,18000.0,18000.0,27300.0,27300.0
e41dd2bb157eb6506b249a47a89f20aa,Sii Poland,10000.0,Wrocław,Java,senior,18000.0,18000.0,27300.0,27300.0
96c56181606b594f7770cc10f7ef613c,Sii Poland,10000.0,Katowice,Java,senior,18000.0,18000.0,27300.0,27300.0
3e4bd1323e6e33343ae7ae9a28ccf2ac,Sii Poland,10000.0,Kraków,Java,senior,18000.0,18000.0,27300.0,27300.0
6036e863e18e7afb689a0279e6340325,Sii Poland,10000.0,Poznań,Java,senior,18000.0,18000.0,27300.0,27300.0
e145412ad7e4888c7530081de916f555,Sii Poland,10000.0,Warszawa,Java,senior,18000.0,18000.0,27300.0,27300.0
def907144979140c16c9588edee73a8c,Sii Poland,10000.0,Remote,C#,mid,9000.0,13100.0,15750.0,18900.0
b4e909d1e57a7ed8b6ced43f69d9899b,Sii Poland,10000.0,Katowice,C#,mid,9000.0,13100.0,15750.0,18900.0
5444174e663213ea41d8b65ab200824c,Sii Poland,10000.0,Kraków,C#,mid,9000.0,13100.0,15750.0,18900.0
1f0c8e29585df3b9188ea88d7aac00ea,Sii Poland,10000.0,Wrocław,C/C++,senior,13000.0,19000.0,16800.0,25200.0
540ae9c147f4fbf933348a287ac3dc59,Sii Poland,10000.0,Gdańsk,C/C++,senior,13000.0,19000.0,16800.0,25200.0
6399cf6ed81a104b933be6f4ae103195,Sii Poland,10000.0,Katowice,C/C++,senior,13000.0,19000.0,16800.0,25200.0
319aee28ce252ff587b31cce4e152b6c,Sii Poland,10000.0,Kraków,C/C++,senior,13000.0,19000.0,16800.0,25200.0
b757d6811606b0314c7a0d778c7fc461,Sii Poland,10000.0,Łódź,C/C++,senior,13000.0,19000.0,16800.0,25200.0
339698a4676ad560f1b7489049cfc64f,Sii Poland,10000.0,Poznań,C/C++,senior,13000.0,19000.0,16800.0,25200.0
9ee83860515e2eace309fa226e064ba7,Sii Poland,10000.0,Warszawa,C/C++,senior,13000.0,19000.0,16800.0,25200.0
d98a5ec02a903f22ebdd108052ffeb68,Sii Poland,10000.0,Warszawa,Java,senior,14000.0,18000.0,20000.0,28000.0
01bec93c40f4dbd4036ded737f6bf7bd,Sii Poland,10000.0,Wrocław,Java,senior,14000.0,18000.0,21000.0,29400.0
b203042a19abc950bac202b2a75f7bd0,Sii Poland,10000.0,Gdańsk,Java,senior,14000.0,18000.0,21000.0,29400.0
b7c0b1380c18619ba71a5c6f1d7788ec,Sii Poland,10000.0,Katowice,Java,senior,14000.0,18000.0,21000.0,29400.0
