company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max,year,month
SoftServe Poland,100.0,Kraków,Java,senior,,,17000.0,25000.0,2023,09
SoftServe Poland,100.0,Warszawa,Java,senior,,,17000.0,25000.0,2023,09
SoftServe Poland,100.0,Łódź,Java,senior,,,17000.0,25000.0,2023,09
ING Bank Śląski Spółka Akcyjna,10000.0,Remote,Kotlin,mid,13000.0,22000.0,,,2023,09
ING Bank Śląski Spółka Akcyjna,10000.0,Warszawa,Python,senior,9000.0,18000.0,,,2023,09
ING Bank Śląski Spółka Akcyjna,10000.0,Remote,Java,mid,11000.0,22000.0,,,2023,09
ING Bank Śląski Spółka Akcyjna,10000.0,Warszawa,C#,senior,11000.0,22000.0,,,2023,09
RTB House,1000.0,Remote,JavaScript,mid,,,10080.0,17640.0,2023,09
RTB House,1000.0,Remote,Python,senior,,,30000.0,47000.0,2023,09
RTB House,1000.0,Remote,Python,senior,,,25000.0,33000.0,2023,09
SEB,100.0,Warszawa,Python,senior,34000.0,37000.0,34000.0,37000.0,2023,09
Capgemini Poland,1000.0,Katowice,Python,senior,14000.0,17000.0,20160.0,23520.0,2023,09
Capgemini Poland,1000.0,Kraków,Python,senior,14000.0,17000.0,20160.0,23520.0,2023,09
Capgemini Poland,1000.0,Gdańsk,Python,senior,14000.0,17000.0,20160.0,23520.0,2023,09
Capgemini Poland,1000.0,Wrocław,Python,senior,14000.0,17000.0,20160.0,23520.0,2023,09
Capgemini Poland,1000.0,Warszawa,Python,senior,14000.0,17000.0,20160.0,23520.0,2023,09
Capgemini Poland,1000.0,Katowice,C/C++,junior,5500.0,11000.0,,,2023,09
Capgemini Poland,1000.0,Wrocław,C/C++,junior,5500.0,11000.0,,,2023,09
Capgemini Poland,1000.0,Warszawa,C/C++,junior,5500.0,11000.0,,,2023,09
Capgemini Poland,1000.0,Katowice,C/C++,senior,14000.0,17000.0,20160.0,23520.0,2023,09
Capgemini Poland,1000.0,Kraków,C/C++,senior,14000.0,17000.0,20160.0,23520.0,2023,09
Capgemini Poland,1000.0,Gdańsk,C/C++,senior,14000.0,17000.0,20160.0,23520.0,2023,09
Capgemini Poland,1000.0,Wrocław,C/C++,senior,14000.0,17000.0,20160.0,23520.0,2023,09
Capgemini Poland,1000.0,Warszawa,C/C++,senior,14000.0,17000.0,20160.0,23520.0,2023,09
Capgemini Poland,1000.0,Poznań,C/C++,senior,14000.0,17000.0,20160.0,23520.0,2023,09
Capgemini Poland,1000.0,Katowice,C/C++,junior,7200.0,13200.0,13608.0,16632.0,2023,09
Capgemini Poland,1000.0,Kraków,C/C++,junior,7200.0,13200.0,13608.0,16632.0,2023,09
